,Name,Brand,Price,Old Price,Discount,Stock,Rating,Reviews,First Comment,Second Comment,Price_Diff,Seller_Evaluation,Seller_Abonne_Number,Shipping_Speed,Quality_Score,Consumer_Review,Cluster
122,Table Laptop Ajustable T8 Avec Ventilation Refroidissement 360° +support souris,Autre,188.0,250.0,25,No Info,3.8 ,6,0.0,0.0,62.0,86,541,ExcellentScore ,Bon,Bon,1
123,"Adaptateur DVI HDMI, Connecteur DVI D 24+1 Mâle vers HDMI Femelle Support 1080P",Autre,29.0,45.0,36,No Info,4.1 ,34,0.0,0.0,16.0,86,160,ExcellentScore ,Bon,Bon,1
124,"Kingston Originale SSD 480GB (2.5""SATA 3) améliore et réactivité du système transferts fichiers plus rapide", Kingston ,485.0,599.0,19,No Info,4.8 ,27,0.0,0.0,114.0,86,541,ExcellentScore ,Bon,Bon,1
125,"Philips Écran LED 17'' 17S1SB - 1280 x 1024 à 60 Hz - 5ms - DVI-D, VGA - Remis à Neuf", Philips ,349.0,479.0,27,Low Stock,4.8 ,4,0.0,0.0,130.0,74,788,ExcellentScore ,Mauvais,Bon,1
126,KIOXIA Clé Usb 2.0 Capacité 32Gb Flash Drive // Stockage 32g DataTraveler TransMemory, KIOXIA ,59.0,59.0,0,Low Stock,4.1 ,17,0.0,0.0,0.0,74,24,ExcellentScore ,Mauvais,Bon,1
127,Epson EcoTank L3250 Imprimante WiFi multifonction à réservoirs rechargeables, Epson ,1875.0,2500.0,25,No Info,3.8 ,15,0.0,0.0,625.0,66,203,BonScore ,Moyen,Moyen,2
128,"Imice Souris Gaming Optique 8 Boutons LED 7200 DPI avec Câble USB 1,8 m pour PC - Noir", Imice ,95.0,223.0,57,High Stock,3.8 ,5,0.0,0.0,128.0,74,2161,ExcellentScore ,Moyen,Moyen,0
129,Hp DeskTop - Core I5-4590 ( 3.3 Ghz ) 16GB Ram + 256GB SSD + 500GB HDD Remis à neuf, Hp ,1380.0,2500.0,45,No Info,3.2 ,5,0.0,0.0,1120.0,80,66,BonScore ,Excellent,Moyen,2
130,Epson EcoTank L3250 Imprimante WiFi multifonction à réservoirs rechargeables, Epson ,1799.0,2390.0,25,No Info,5 ,2,0.0,0.0,591.0,86,11,MoyenScore ,Excellent,Excellent,2
131,Kingston Clé USB - 128GB - USB Pour Stockage - USB 3.2 - DataTraveler EXODIA, Kingston ,139.0,170.0,18,No Info,4.2 ,41,0.0,0.375,31.0,86,541,ExcellentScore ,Bon,Bon,1
132,Sac pc portable mallette portable cartable sacoche 14inch,Autre,99.0,199.0,50,No Info,2 ,1,0.0,0.0,100.0,80,38,BonScore ,Excellent,Moyen,1
133,Hp PC PORTABLE ELITEBOOK 840 G5 8ÉME GÉN-CORE I5-8Go-256 Go SSD-Remis à neuf, Hp ,3150.0,5000.0,37,Low Stock,4.8 ,6,0.0,0.0,1850.0,66,830,ExcellentScore ,Mauvais,Moyen,2
134,Canon Pack Cartouches 445 Noir + 446 Couleur, Canon ,529.0,529.0,0,Low Stock,0 ,0,0.0,0.0,0.0,100,58,ExcellentScore ,Excellent,Excellent,1
135,Verbatim Clé Usb 2.0 Capacité 32Gb Flash Drive // Stockage 32g DataTraveler, Verbatim ,49.0,49.0,0,Low Stock,4.3 ,11,0.0,0.0,0.0,74,24,ExcellentScore ,Mauvais,Bon,1
136,"Adaptateur multi-répartiteur USB C, HUB 3.0, Type C 3.1, 4 ports",Autre,79.0,90.0,12,No Info,5 ,1,0.0,0.0,11.0,74,177,ExcellentScore ,Moyen,Moyen,1
137,Nettoyant pour écran de téléphone / pc / TV / toutes les électroniques 200ML,Autre,82.0,99.0,17,No Info,5 ,3,0.0,0.0,17.0,86,36,ExcellentScore ,Excellent,Moyen,1
138,Boutique OfficielleCanon Imprimante Pixma MegaTanK G3430 multifonction à réservoirs rechargeables, Canon ,1599.0,2500.0,36,Low Stock,0 ,0,0.0,0.0,901.0,94,67,ExcellentScore ,Bon,Excellent,2
139,Boutique OfficielleCanon PIXMA G2430 Imprimante multifonction à réservoirs rechargeables (5991C009AA), Canon ,1279.0,1590.0,20,Low Stock,4 ,3,0.0,0.0,311.0,94,67,ExcellentScore ,Bon,Excellent,1
140,Jabra CASQUE EVOLVE 20 Duo, Jabra ,480.0,750.0,36,Low Stock,4.6 ,9,0.0,0.0,270.0,86,157,ExcellentScore ,Excellent,Moyen,1
141,Hp ELITEBOOK 840 G1 CORE I5-4300U 4EME GÉNÉRATION - 8GB / 256GB SSD AZERTY (Remis à Neuf), Hp ,1850.0,3999.0,54,Low Stock,5 ,1,0.0,0.0,2149.0,74,788,ExcellentScore ,Mauvais,Bon,2
142,Boutique OfficielleLenovo Chargeur Pc Portable USB Original 45W / 20V / 2.25A - Adaptateur AC -ADLX45DLC3A, Lenovo ,115.0,227.0,49,Low Stock,4.3 ,13,0.0,0.0,112.0,74,788,ExcellentScore ,Mauvais,Bon,1
143,Razer Tapis de souris Plexus 900 x 300 MM Tapis gamer souris et clavier Gaming Mouse Pad, Razer ,89.0,99.0,10,High Stock,4.3 ,20,0.0,0.0,10.0,94,354,ExcellentScore ,Excellent,Bon,1
144,Boutique OfficielleDELL Pc Gamer Core i5 - 4th Gén -16Go DDR3 - 256Go SSD + 1To HDD - AMD FirePro (Remis à Neuf), DELL ,1999.0,3359.0,40,Low Stock,3.2 ,22,0.0,0.0,1360.0,74,788,ExcellentScore ,Mauvais,Bon,2
145,Boutique OfficielleRazer Souris DeathAdder Essential, Razer ,389.99,700.0,44,No Info,4.7 ,61,0.0,0.3,310.01,54,3094,ExcellentScore ,Très Mauvais,Moyen,0
146,Casque Gaming Stéréo LED Gt 85 Filaire E-sports avec Microphone Entouré HiFi,Autre,119.0,459.0,74,High Stock,4 ,2,0.0,0.0,340.0,74,2161,ExcellentScore ,Moyen,Moyen,0
147,"Boutique OfficielleHp Pack cartouche 305 Noir + 305 Couleur Pour Deskjet 2710, 2720 ( Cadeau offert )", Hp ,399.0,550.0,27,Low Stock,4.9 ,9,0.0,0.0,151.0,80,64,BonScore ,Excellent,Moyen,1
148,"WD Disque Dur Interne 500GB / 500GO Western Digital SATA HDD 3.5""", WD ,199.0,350.0,43,Low Stock,3.7 ,3,0.0,0.0,151.0,94,189,BonScore ,Excellent,Excellent,1
149,Boutique OfficielleLenovo PC PORTABLE THINKPAD T540P-I5-8G-256Go SSD-FULL HD-REMIS A NEUF, Lenovo ,3199.0,3599.0,11,High Stock,4 ,2,0.0,0.0,400.0,66,388,BonScore ,Moyen,Moyen,2
150,sacoche Housse pour pc portable protection portable 2 fermetures à glissière 15p,Autre,117.0,169.0,31,No Info,5 ,1,0.0,0.0,52.0,86,61,ExcellentScore ,Excellent,Moyen,1
151,Câble Réseau Ethernet RJ45 CAT6 30 Mètre haut débit qualité Pro By Electro World,Autre,112.99,199.0,43,High Stock,4 ,6,0.0,0.0,86.01,74,2690,BonScore ,Bon,Moyen,0
152,General Adaptateur Displayport male to VGA femelle, General ,49.0,54.0,9,No Info,4 ,47,0.0,0.0,5.0,86,541,ExcellentScore ,Bon,Bon,1
153,"Edup Cle USB Wifi Sans Fil Adaptateur Wifi Récepteur Ethernet Carte Pour PC Ordinateur - transmission 2,4 G jusqu'à 150 Mbps", Edup ,55.0,70.0,21,High Stock,4.3 ,30,0.0,0.0,15.0,86,541,ExcellentScore ,Bon,Bon,1
154,Chargeur Pc Portable ASUS 19V 2.37A,Autre,199.0,399.0,50,High Stock,4.5 ,4,0.0,0.0,200.0,66,16,ExcellentScore ,Très Mauvais,Excellent,1
155,"chargeur type c compatible 20V 2,25 a 65W avec pc Lenovo Acer ASUS Dell HP LG gram Microsoft",Autre,175.0,490.0,64,High Stock,4.2 ,5,0.0,0.0,315.0,74,2161,ExcellentScore ,Moyen,Moyen,0
156,Razer Casque gamer Kraken X Lite, Razer ,590.0,690.0,14,No Info,5 ,2,0.0,0.0,100.0,74,46,BonScore ,Moyen,Bon,1
157,"Boutique OfficielleApple Macbook air 2020-Retina 13,3"" -INTEL i3 -RAM 8Go-SSD 256Go-Batterie10h -remis a neuf/", Apple ,5999.0,7999.0,25,Low Stock,5 ,1,0.0,0.0,2000.0,66,388,BonScore ,Moyen,Moyen,2
